Title,Summary,Enrollment,Stars,Rating,Link
"
CFA® Level 1 (2020) - Complete Quantitative Methods
","
Deep dive into Quant with the Bestselling CFA® prep course provider | With visual learning + Quizzes
","
10,474 students
",4.6," (1,832 ratings)",https://www.udemy.com/course/cfa-level-1-complete-quantitative-methods/
"
The Core Four of Personal Finance including Recession Basics
","
A global recession has started! Learn the core four pillars of personal finance. Get and stay motivated!
","
19,682 students
",4.5," (1,809 ratings)",https://www.udemy.com/course/the-core-four-of-personal-finance-basics/
"
Personal Finance Masterclass - Easy Guide to Better Finances
","
Your complete personal finance guide to understanding finances. Save more, invest smarter, reduce loans, retire earlier!
","
33,211 students
",4.3," (1,791 ratings)",https://www.udemy.com/course/personal-finance-masterclass/
"
Business Analysis: Working with Use Cases
","
An introductory course on use case modeling for Business Analysts or those looking to transition into a BA role.
","
9,928 students
",4.6," (1,786 ratings)",https://www.udemy.com/course/usecases/
"
Accounting, Bookkeeping & Financial Statements: Zero to Pro
","
3 courses in 1: No background to recording transactions (Bookkeeping), Financial Accounting & Financial Statements
","
51,989 students
",4.2," (1,778 ratings)",https://www.udemy.com/course/accounting-for-entrepreneurs/
"
How to Win 97% of Your Options Trades
","
Trade Equity and ETF Options Like a Pro!
","
11,281 students
",4.2," (1,695 ratings)",https://www.udemy.com/course/how-to-win-97-percent-of-your-trades/
"
Learn how to double your Forex Trading Account in one trade
","
Learn that it is not that difficult to double your Forex account in one Forex trade manually using very low or no risk.
","
10,355 students
",4.4," (1,614 ratings)",https://www.udemy.com/course/learn-how-to-double-your-forex-trading-account-in-one-trade/
"
The Credit Analyst Training course
","
Learn the complete Credit Risk Analysis skills for jobs in Banks, Asset Management & Credit Rating Agencies
","
6,836 students
",4.3," (1,606 ratings)",https://www.udemy.com/course/the-credit-analyst-skills-training-cast-course/
"
The Complete Technical Analysis Trading Course (New 2020)
","
Master Technical Analysis, Candlesticks & Chart Patterns For Forex, Stock Trading, Options Trading & Fibonacci Trading
","
6,733 students
",4.2," (1,576 ratings)",https://www.udemy.com/course/the-complete-technical-analysis-course/
"
Advanced Forex Trading - Ichimoku Trading Strategy Explained
","
Ichimoku Trading - A Complete Strategy that You Can Apply to Forex Trading, Stock Trading and other Financial Markets!
","
5,684 students
",4.8," (1,480 ratings)",https://www.udemy.com/course/advanced-forex-trading-ichimoku-trading-strategy-explained/
"
Investment Analysis & Portfolio Management - Core Finance
","
Financial Analysis Done Right - Rigorously Analyse Investments & Manage Portfolios using Excel® & Google Sheets
","
7,725 students
",4.5," (1,438 ratings)",https://www.udemy.com/course/investment-analysis-portfolio-management/
"
Forex Trading: Your Complete Guide to Get Started Like a Pro
","
Forex Trading Program - Learn How to be a Successful Trader in the Currency Market - With Live Examples on MetaTrader 4
","
5,278 students
",4.7," (1,426 ratings)",https://www.udemy.com/course/forex-trading-your-complete-guide-to-get-started-like-a-pro/
"
Cryptocurrency Wallets Course: Secure Your Cryptos Safely!
","
Keep your Cryptocurrency safe & secure from hackers with Paper, Desktop, Mobile and Hardware wallets!
","
6,435 students
",3.7," (1,406 ratings)",https://www.udemy.com/course/cryptocurrency-wallet/
"
Complete GST Course & Certification - Grow Your CA Practice
","
Become GST Expert in 12 hours!
","
4,123 students
",4.1," (1,379 ratings)",https://www.udemy.com/course/goods-and-services-tax/
"
Introduction to Financial Modeling for Beginners
","
Learn how to build your first financial models in Excel from scratch.
","
16,876 students
",4.2," (1,352 ratings)",https://www.udemy.com/course/intro-to-financial-modeling/
"
The Complete Value Investing Course (Updated 2020)
","
Copy & Paste Value Investing System - How to Find Cheap Stocks, Perform Financial Statement Analysis & Company Valuation
","
8,319 students
",4.3," (1,344 ratings)",https://www.udemy.com/course/value-investing-essential-guide-to-picking-stocks/
"
Company Valuation & Financial Modeling
","
Learn comprehensive financial modeling, forecasting and business valuation techniques for Finance professionals
","
6,636 students
",4.2," (1,329 ratings)",https://www.udemy.com/course/the-valuation-analyst-skills-training-vast-course/
"
Invest in Stocks Like a Pro Investor by a Pro Investor!
","
Succeed as a Stock Picker or Financial Analyst by an Award Winning MBA Prof., worked @ Goldman, Hedge Funds & in VC
","
16,899 students
",4.6," (1,294 ratings)",https://www.udemy.com/course/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/
"
The Complete Day Trading Course (Updated 2020)
","
Day Trading & Technical Analysis System For Intraday Trading Stocks, Forex, Crypto, Options Trading & Financial Trading
","
5,662 students
",4.0," (1,288 ratings)",https://www.udemy.com/course/the-complete-day-trading-course/
"
Learn How To Budget - Personal budgeting made easy
","
Everything you need to KNOW and everything you need to DO to set and stick to a monthly budget.
","
4,762 students
",4.5," (1,283 ratings)",https://www.udemy.com/course/learnhowtobudget/
"
Seeing the Big Picture: Understanding Financial Statements
","
Learn the key measures to look for on a financial statement so you can build your credibility and grow your company.
","
4,432 students
",4.4," (1,277 ratings)",https://www.udemy.com/course/seeing-the-big-picture-financial-statements-made-easy/
"
Stock Market For Beginners - How To Start Investing Today
","
Investing 101 : Learn The Essentials To Invest Successfully In The Stock Market. Invest With Confidence & Gain Freedom
","
5,457 students
",4.4," (1,270 ratings)",https://www.udemy.com/course/stock-market-for-beginners-how-to-start-investing-today/
"
Forex Trading Price Action: Advanced Swing Trading Strategy
","
Profitable Swing Trading Strategy that can be Applied to Forex Trading, Stock Trading and other Financial Markets.
","
5,340 students
",4.6," (1,262 ratings)",https://www.udemy.com/course/forex-trading-price-action-advanced-swing-trading-strategy/
"
Investing Success: Learn Keys From A Millionaire Investor!
","
Learn insights to investing in stocks, bonds, mutual funds, real estate, ETF for retirement from a millionaire investor.
","
15,535 students
",4.4," (1,262 ratings)",https://www.udemy.com/course/investing-success/
"
Finance for the Real World - Corporate Finance 101
","
Learn the basics of Finance! We will cover compounding interest and many other topics
","
17,031 students
",4.2," (1,251 ratings)",https://www.udemy.com/course/finance-a-brief-introduction-and-basics-finance-101/
"
Forex Trading Strategy: Complete ALM System + Live Examples
","
Learn a Profitable Forex System with Proven Results Since 2013 - Live Examples with a Real Money Forex Trading Account
","
5,893 students
",4.5," (1,253 ratings)",https://www.udemy.com/course/forex-trading-strategy-a-complete-system-with-live-examples/
"
How to Become a Financial Analyst from Scratch!
","
Become a finance professional, earn over $120,000 per year and boost your career and life. Learn all from scratch!
","
20,449 students
",4.1," (1,236 ratings)",https://www.udemy.com/course/become-a-financial-analyst-from-scratch-n1/
"
Financial Management A Complete Study for CA/CMA/CS/CFA/ACCA
","
500+ lectures & case studies for CA IPCC / CFA / CS Final / CMA Inter / MBA Finance / B. Com Final Exams & Professionals
","
10,829 students
",4.3," (1,215 ratings)",https://www.udemy.com/course/financial-management-a-complete-study/
"
Banking Credit Analysis Process (for Bankers)
","
Course for Bankers, Consultants and managers to Understand Credit Analysis Process from Indian Context.
","
5,808 students
",4.5," (1,208 ratings)",https://www.udemy.com/course/credit-analysis-process/
"
Forex Basics
","
An Overview Of The Forex Market To Help You Determine If Getting Involved Is For You. / Get Your Feet Wet Here
","
25,931 students
",4.3," (1,168 ratings)",https://www.udemy.com/course/forex-basics/
"
Ultimate Excel Training Course - Intro to Advanced Pro
","
Accelerate Your Career. Navigation Shortcuts, Formatting Tips, Functions, Formula, Charts, Graphs, Pivot Tables, Macros!
","
59,863 students
",4.4," (1,121 ratings)",https://www.udemy.com/course/ultimate-excel-training-course-intro-to-advanced-pro/
"
Tax Preparation and Law 2019 2020 - Income Tax
","
Income tax preparation for tax year 2019 2020-Form 1040, supporting schedules, practice problems & tax materials
","
7,952 students
",4.4," (1,105 ratings)",https://www.udemy.com/course/tax-preparation-and-law-2018-2019-income-tax/
"
Anti Money Laundering & Countering of Terrorist Financing
","
Compliance , AML/CFT (Consolidated Quick Learning Video)
","

1,995 students
",4.2," (1,092 ratings)",https://www.udemy.com/course/anti-money-laundering-countering-of-terrorist-financing/
"
Algorithmic Trading: Backtest, Optimize & Automate in Python
","
Learn How to Use and Manipulate Open Source Code in Python so You can Fully Automate a Cryptocurrency Trading Strategy.
","
6,736 students
",4.5," (1,061 ratings)",https://www.udemy.com/course/algorithmic-trading-in-python/
"
Xero Online Accounting - Learn Xero in a Day
","
All you need to get registered, setup and confident using Xero from a UK Qualified Accountant and Xero Certified Advisor
","
3,403 students
",4.5," (1,052 ratings)",https://www.udemy.com/course/xero-in-a-day/
"
Start Trading Stocks Using Technical Analysis! Part 2
","
Learn the secrets of professional trading from a former stock broker, and make profits investing today!
","
6,061 students
",4.7," (1,014 ratings)",https://www.udemy.com/course/start-trading-stocks-using-technical-analysis-part-2/
"
Financial modeling | Project Finance & Infrastructure
","
Learn how build a project finance model & support infrastructure finance deals around the globe!
","
4,101 students
",4.2," (1,010 ratings)",https://www.udemy.com/course/financial-modeling-project-finance-infrastructure/
"
Accounting–Financial Accounting Total-Beginners to Advanced
","
Including well over 100 hours of content, e-book (EPUB, MOBI, PDF) ,Excel worksheet, & PDF files, this is comprehensive
","
63,272 students
",4.4," (1,007 ratings)",https://www.udemy.com/course/financial-accounting-accounting-cycle/
"
Investment Banking: Private Equity 101
","
Investment Banking: An Introduction to Private Equity for Entrepreneurs, CEOs and potential Wall Street Analysts!
","
5,685 students
",4.5, (998 ratings),https://www.udemy.com/course/investment-banking-private-equity-101/
"
Managerial (Cost) Accounting For Beginners
","
Management accounting for managers and students. Learn managerial and cost accounting. #1 accounting course online.
","
5,368 students
",4.3, (989 ratings),https://www.udemy.com/course/managementaccounting/
"
Blockchain Advanced Level: Uses Beyond Bitcoin
","
Learn and understand real world applications of blockchain technology beyond Bitcoin.
","
4,160 students
",4.6, (967 ratings),https://www.udemy.com/course/blockchain-advanced-uses-beyond-bitcoin-2018/
"
CFA® Level 1 (2020) - Complete Derivatives
","
Deep dive into Derivatives with the Bestselling CFA® prep course provider | With visual learning + Quizzes
","
7,081 students
",4.5, (955 ratings),https://www.udemy.com/course/cfa-level-1-complete-derivatives/
"
Learn to Trade The News
","
Learn how to take advantage of the powerful FX trading opportunities provided by economic news announcements each week!
","
5,086 students
",4.6, (937 ratings),https://www.udemy.com/course/learn-to-trade-the-news/
